, URL, Mobile_Performance, Mobile_Accessibility, Mobile_Best_Practices, Mobile_SEO, Desktop_Performance, Desktop_Accessibility, Desktop_Best_Practices, Desktop_SEO,
,https://bajajfinservhealth.in/,3,88,79,73,35,88,86,73,
,https://www.geeksforgeeks.org/,23,77,71,83,26,77,71,83
